,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A1TBD9,,A1TBD9_MYCVP,,,,
A1TPB2,,A1TPB2_ACIAC,,,,
A1TT20,,A1TT20_ACIAC,,,,
A1TU11,,A1TU11_ACIAC,,,,
A1TWQ1,,A1TWQ1_MARHV,,,,
A1UE41,,A1UE41_MYCSK,,,,
A1UIN7,,A1UIN7_MYCSK,,,,
A1UU70,,A1UU70_BARBK,,,,
A1UYB3,,A1UYB3_BURMS,,,,
A1UZW7,,A1UZW7_BURMS,,,,
A1V665,,A1V665_BURMS,,,,
A1VD47,,A1VD47_DESVV,,,,
A1VKL8,,A1VKL8_POLNA,,,,
A1W9J2,,A1W9J2_ACISJ,,,,
A1WBM4,,A1WBM4_ACISJ,,,,
A1WHN8,,A1WHN8_VEREI,,,,
A1XE55,,,,A1XE55_9LAGO,,
A1XE68,,,,A1XE68_OCHHY,,
A1XE80,,,,A1XE80_OCHPA,,
A1XEE7,,A1XEE7_BOVIN,,,,
A1XHZ2,,,,A1XHZ2_OPSBI,,
A1XJ52,,,,A1XJ52_URSTH,,
A1XP62,,A1XP62_BOVIN,,,,
A1XQQ4,,,,A1XQQ4_ONCMA,,
A1XQY8,,,,A1XQY8_ONCMA,,
A1XRK9,,,,A1XRK9_ONCMA,,
A1XUX2,,,,A1XUX2_9TELE,,
A1XUX3,,,,A1XUX3_9TELE,,
A1XUX4,,,,A1XUX4_9TELE,,
A1XUX5,,,,A1XUX5_9TELE,,
A1XUX6,,,,A1XUX6_9TELE,,
A1XUX7,,,,A1XUX7_9TELE,,
A1XUX8,,,,A1XUX8_9TELE,,
A1XUX9,,,,A1XUX9_9TELE,,
A1XUY0,,,,A1XUY0_9TELE,,
A1XUY1,,,,A1XUY1_9TELE,,
A1XUY2,,,,A1XUY2_9TELE,,
A1XUY3,,,,A1XUY3_SEBCA,,
A1XUY4,,,,A1XUY4_9TELE,,
A1XUY5,,,,A1XUY5_9TELE,,
A1XUY6,,,,A1XUY6_9TELE,,
A1XUY7,,,,A1XUY7_9TELE,,
A1XUY8,,,,A1XUY8_9TELE,,
A1XUY9,,,,A1XUY9_9TELE,,
A1XUZ0,,,,A1XUZ0_SEBSA,,
A1XUZ2,,,,A1XUZ2_9TELE,,
A1XUZ3,,,,A1XUZ3_9TELE,,
A1XUZ4,,,,A1XUZ4_9TELE,,
A1XUZ5,,,,A1XUZ5_9TELE,,
A1XUZ6,,,,A1XUZ6_9TELE,,
A1XUZ7,,,,A1XUZ7_9TELE,,
A1XUZ8,,,,A1XUZ8_9TELE,,
A1XUZ9,,,,A1XUZ9_9TELE,,
A1XV00,,,,A1XV00_9TELE,,
A1XV01,,,,A1XV01_9TELE,,
A1XV02,,,,A1XV02_9TELE,,
A1XV03,,,,A1XV03_SEBFL,,
A1XV04,,,,A1XV04_9TELE,,
A1XV05,,,,A1XV05_9TELE,,
A1XV06,,,,A1XV06_9TELE,,
A1XV07,,,,A1XV07_9TELE,,
A1XV08,,,,A1XV08_9TELE,,
A1XV09,,,,A1XV09_9TELE,,
A1XV10,,,,A1XV10_9TELE,,
A1XV11,,,,A1XV11_9TELE,,
A1XV12,,,,A1XV12_9TELE,,
A1XV13,,,,A1XV13_9TELE,,
A1XV14,,,,A1XV14_9TELE,,
A1XV16,,,,A1XV16_9TELE,,
A1XV17,,,,A1XV17_SEBNI,,
A1XV18,,,,A1XV18_9TELE,,
A1XV19,,,,A1XV19_9TELE,,
A1XV20,,,,A1XV20_9TELE,,
A1XV21,,,,A1XV21_9TELE,,
A1XV22,,,,A1XV22_9TELE,,
A1XV23,,,,A1XV23_9TELE,,
A1XV24,,,,A1XV24_9TELE,,
A1XV25,,,,A1XV25_9TELE,,
A1XV26,,,,A1XV26_9TELE,,
A1XV27,,,,A1XV27_SEBRU,,
A1XV28,,,,A1XV28_9TELE,,
A1XV29,,,,A1XV29_9TELE,,
A1XV30,,,,A1XV30_9TELE,,
A1XV31,,,,A1XV31_9TELE,,
A1XV32,,,,A1XV32_9TELE,,
A1XV33,,,,A1XV33_9TELE,,
A1XV34,,,,A1XV34_9TELE,,
A1XV35,,,,A1XV35_9TELE,,
A1XV36,,,,A1XV36_9TELE,,
A1XV37,,,,A1XV37_9TELE,,
A1XV38,,,,A1XV38_9TELE,,
A1XV39,,,,A1XV39_SEBSC,,
A1XV40,,,,A1XV40_9TELE,,
A1XV41,,,,A1XV41_SEBIN,,
A1XV42,,,,A1XV42_9TELE,,
A1XV43,,,,A1XV43_9TELE,,
A1XV44,,,,A1XV44_9TELE,,
A1XV45,,,,A1XV45_9TELE,,
A1XV46,,,,A1XV46_9TELE,,
A1XV47,,,,A1XV47_9TELE,,
A1XV48,,,,A1XV48_9TELE,,
A1XV49,,,,A1XV49_9TELE,,
A1XV50,,,,A1XV50_9TELE,,
