,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A8HCS9,,,,A8HCS9_BATAT,,
A8I7A6,,A8I7A6_AZOC5,,,,
A8IDL5,,A8IDL5_AZOC5,,,A8IDL5_AZOC5,
A8JLF0,,,,A8JLF0_HUMAN,,
A8L2F8,,A8L2F8_FRASN,,,A8L2F8_FRASN,
A8LFD7,,A8LFD7_FRASN,,,,
A8LRT8,,A8LRT8_DINSH,,,,
A8LTQ2,,A8LTQ2_DINSH,,,,
A8M1J2,,A8M1J2_SALAI,,,,
A8M4H0,,A8M4H0_SALAI,,,,
A8MBM1,,A8MBM1_CALMQ,,,,
A8QW59,,,,A8QW59_URSTH,,
A8QW72,,,,A8QW72_MELUS,,
A8QW85,,,,A8QW85_AILME,,
A8QWA8,,,,A8QWA8_HELMA,,
A8QWB1,,,,A8QWB1_TREOR,,
A8QX89,,,,A8QX89_STYCH,,
A8RLY1,,,,A8RLY1_9AVES,,
A8RM13,,,,A8RM13_9GRUI,,
A8RM49,,,,A8RM49_9GRUI,,
A8RM90,,,,A8RM90_ARCCO,,
A8RMC9,,,,A8RMC9_TACNO,,
A8T2Y6,,,,A8T2Y6_9TELE,,
A8T305,,,,A8T305_9TELE,,
A8T321,,,,A8T321_9TELE,,
A8U4S0,,,,A8U4S0_DUTME,,
A8U4S4,,,,A8U4S4_DUTME,,
A8UTQ7,,,,A8UTQ7_9TELE,,
A8UU44,,,,A8UU44_DYSAC,,
A8UUL3,,,,A8UUL3_9TELE,,
A8V3F6,,,,A8V3F6_OSTTE,,
A8V3F9,,,,A8V3F9_OSTTE,,
A8V3H8,,,,A8V3H8_OSTTE,,
A8V3K0,,,,A8V3K0_OSTTE,,
A8WA78,,,,A8WA78_EPIML,,
A8WBY3,,,,A8WBY3_9TELE,,
A8WBY4,,,,A8WBY4_9TELE,,
A8WBY6,,,,A8WBY6_ALUSC,,
A8Z1K1,,A8Z1K1_STAAT,,,,
A9A1V9,,A9A1V9_NITMS,,,,
A9AEK8,,A9AEK8_BURM1,,,,
A9AHP3,,A9AHP3_BURM1,,,,
A9ASA3,,A9ASA3_BURM1,,,,
A9B5D2,,A9B5D2_HERA2,,,,
A9BE63,,A9BE63_PROM4,,,,
A9BSV8,,A9BSV8_DELAS,,,,
A9C0C3,,A9C0C3_DELAS,,,,
A9CKN4,,A9CKN4_AGRT5,,,,
A9F513,,A9F513_SORC5,,,,
A9F8S7,,A9F8S7_SORC5,,,,
A9GYY0,,,,A9GYY0_ACRSC,,
A9GZ28,,,,A9GZ28_9SYLV,,
A9GZ65,,,,A9GZ65_9SYLV,,
A9HWK1,,A9HWK1_BORPD,,,,
A9HXA4,,A9HXA4_BORPD,,,,
A9IM06,,A9IM06_BART1,,,,
A9IMF6,,A9IMF6_BORPD,,,,
A9IQC7,,A9IQC7_BORPD,,,,
A9IUL0,,A9IUL0_BORPD,,,,
A9J6R2,,,,A9J6R2_SALTR,,
A9JQF9,,,,A9JQF9_BORSA,,
A9JQI2,,,,A9JQI2_ARCGL,,
A9KG39,,A9KG39_COXBN,,,,
A9KUX1,,A9KUX1_SHEB9,,,,
A9KV10,,A9KV10_SHEB9,,,,
A9L9N6,,,,A9L9N6_ELEMC,,
A9L9P9,,,,A9L9P9_CHIMY,,
A9L9R1,,,,A9L9R1_CHIRA,,
A9LFU3,,,,A9LFU3_PIG,,
A9LFW9,,,,A9LFW9_PIG,,
A9LY67,,,,A9LY67_9TELE,,
A9LY88,,,,A9LY88_ACALI,,
A9M6P8,,A9M6P8_BRUC2,,,,
A9M8Z2,,A9M8Z2_BRUC2,,,A9M8Z2_BRUC2,
A9MM29,,A9MM29_SALAR,,,,
A9MWY7,,A9MWY7_SALPB,,,,
A9NCP9,,A9NCP9_COXBR,,,,
A9NJ28,,,,A9NJ28_LAMGU,,
A9NJ29,,,,A9NJ29_LAMGL,,
A9NJ30,,,,A9NJ30_VICPA,,
A9NJ31,,,,A9NJ31_LAMVI,,
A9QSZ6,,,,A9QSZ6_CHICK,,
A9QXH2,,,,A9QXH2_PUNTE,,
A9QZR0,,A9QZR0_YERPG,,,,
A9RAH5,,,,,,COX1_DEBHA
A9RAH6,,AI3_DEBHA,,,,AI3_DEBHA
A9RAH7,,AI2_DEBHA,,,,AI2_DEBHA
A9UJ19,,,,A9UJ19_HYPMO,,
A9VEY3,,A9VEY3_BACWK,,,,
A9VUA4,,A9VUA4_BACWK,,,,
A9VX44,,A9VX44_METEP,,,,
A9VYF1,,A9VYF1_METEP,,,,
A9VZ57,,A9VZ57_METEP,,,A9VZ57_METEP,
A9VZ93,,A9VZ93_METEP,,,,
A9WF39,,A9WF39_CHLAA,,,,
A9WHC3,,A9WHC3_CHLAA,,,,
A9WMK8,,A9WMK8_RENSM,,,,
A9X1D9,,,,A9X1D9_9TELE,,
A9X4C8,,,,A9X4C8_DEIAC,,
A9X4E1,,,,A9X4E1_NAJNA,,
A9X4F4,,,,A9X4F4_9SAUR,,
A9X4G7,,,,A9X4G7_9SAUR,,
A9XBE1,,,,A9XBE1_MELGA,A9XBE1_MELGA,A9XBE1_MELGA
A9XF48,,,,A9XF48_9AMPH,,
A9XHX1,,,,A9XHX1_9LABR,,
A9XN72,,,,A9XN72_CROSI,,
A9XSC5,,,,A9XSC5_9SAUR,,
A9XSD8,,,,A9XSD8_9SAUR,,
A9XSK3,,,,A9XSK3_9SAUR,,
A9XSL7,,,,A9XSL7_9SAUR,,
A9XSN1,,,,A9XSN1_9SAUR,,
A9XTT1,,,,A9XTT1_9SAUR,,
A9XTT2,,,,A9XTT2_9SAUR,,
A9XTT3,,,,A9XTT3_9SAUR,,
A9XTT4,,,,A9XTT4_9SAUR,,
A9Y7Y6,,,,A9Y7Y6_9SALA,,
A9Y803,,,,A9Y803_9SALA,,
A9Y810,,,,A9Y810_9SALA,,
A9Y817,,,,A9Y817_9SALA,,
A9Y824,,,,A9Y824_9SALA,,
A9Y831,,,,A9Y831_BATMJ,,
A9Y838,,,,A9Y838_9SALA,,
A9Z1A9,,,,A9Z1A9_PIG,,
A9Z1F9,,,,A9Z1F9_HYPNO,,
A9ZNI3,,,,A9ZNI3_HYLJA,,
A9ZNJ6,,,,A9ZNJ6_9NEOB,,
B0BXE8,,B0BXE8_RICRO,,,,
B0C0A2,,B0C0A2_ACAM1,,,,
B0CI63,,B0CI63_BRUSI,,,,
B0CKF3,,B0CKF3_BRUSI,,,B0CKF3_BRUSI,
B0EXU4,,,,B0EXU4_SHEEP,,
B0FNB5,,B0FNB5_SCHJA,,,,
B0FNC1,,B0FNC1_SCHJA,,,,
B0FWC7,,,,,,COX1_AEDAE
B0JDW6,,,,B0JDW6_DENDR,,
B0JDY8,,,,B0JDY8_TRIMA,,
B0JDZ2,,,,B0JDZ2_9EUTH,,
B0JE06,,,,B0JE06_DAUMA,,
B0JE19,,,,B0JE19_EULMO,,
B0JE32,,,,B0JE32_9EUTH,,
B0JE45,,,,B0JE45_9EUTH,,
B0JGB1,,B0JGB1_MICAN,,,,
B0KFY3,,B0KFY3_PSEPG,,,,
B0KPE1,,B0KPE1_PSEPG,,,,
B0L655,,,,B0L655_SCORE,,
B0LFN3,,,,B0LFN3_PANTR,,
B0LFP6,,,,B0LFP6_9PRIM,,
B0LXC9,,,,B0LXC9_CTEID,,
B0R3V8,B0R3V8_HALS3,B0R3V8_HALS3,,,,
B0R7A7,,B0R7A7_HALS3,,,,
B0RIL1,,B0RIL1_CLAMS,,,,
B0RXJ9,,B0RXJ9_XANCB,,,,
B0RY24,,B0RY24_XANCB,,,,
B0SE54,,B0SE54_LEPBA,,,,
B0SMN7,,B0SMN7_LEPBP,,,,
B0T0X7,,B0T0X7_CAUSK,,,,
B0TNT0,,B0TNT0_SHEHH,,,,
B0U6L7,,B0U6L7_XYLFM,,,,
B0UDY0,,B0UDY0_METS4,,,,
B0UF71,,B0UF71_METS4,,,,
B0UFS3,,B0UFS3_METS4,,,B0UFS3_METS4,
B0UG12,,B0UG12_METS4,,,,
B0UJY8,,B0UJY8_METS4,,,,
B0V7H1,,B0V7H1_ACIBY,,,,
B0VM14,,B0VM14_ACIBS,,,,
B0YIN4,,,,B0YIN4_AETCR,,
B0YIN5,,,,B0YIN5_AETPU,,
B0YIN6,,,,B0YIN6_AETPY,,
B0YIN7,,,,B0YIN7_ALCTO,,
B0YIN8,,,,B0YIN8_ALLAL,,
B0YIN9,,,,B0YIN9_ALLAL,,
B0YIP0,,,,B0YIP0_BRABR,,
B0YIP1,,,,B0YIP1_BRAMA,,
B0YIP2,,,,B0YIP2_9CHAR,,
B0YIP3,,,,B0YIP3_CEPCR,,
B0YIP4,,,,B0YIP4_CEPCO,,
B0YIP5,,,,B0YIP5_CERMN,,
B0YIP6,,,,B0YIP6_AETPS,,
B0YIP7,,,,B0YIP7_FRACR,,
B0YIP8,,,,B0YIP8_FRACI,,
B0YIP9,,,,B0YIP9_PTYAL,,
B0YIQ0,,,,B0YIQ0_SYNAN,,
B0YIQ1,,,,B0YIQ1_SYNCR,,
B0YIQ2,,,,B0YIQ2_SYNWU,,
B0YIQ3,,,,B0YIQ3_URIAL,,
B0YIQ4,,,,B0YIQ4_URIAL,,
B0YIQ5,,,,B0YIQ5_URILO,,
B0Z6P8,,,,B0Z6P8_HUMAN,,
B0Z6V0,,,,B0Z6V0_HUMAN,,
B0ZBP4,,,,B0ZBP4_9PASE,,
B1AA20,,,,B1AA20_MEGAM,,
B1AC72,,,,B1AC72_CANLU,,
B1HMQ0,,B1HMQ0_LYSSC,,,,
B1HPV2,,B1HPV2_LYSSC,,,,
B1HVF1,,B1HVF1_LYSSC,,,,
B1HVF2,,B1HVF2_LYSSC,,,,
B1J018,,B1J018_ECOLC,,,,
B1J4K5,,B1J4K5_PSEPW,,,,
B1JEL7,,B1JEL7_PSEPW,,,,
B1JHS9,,B1JHS9_YERPY,,,,
B1JUK0,,B1JUK0_BURCC,,,,
B1JZ50,,B1JZ50_BURCC,,,,
B1KAL8,,B1KAL8_BURCC,,,,
B1KM65,,B1KM65_SHEWM,,,,
B1KQ75,,B1KQ75_SHEWM,,,,
B1LJI5,,B1LJI5_ECOSM,,,,
B1M0S6,,B1M0S6_METRJ,,,,
B1M624,,B1M624_METRJ,,,,
B1M7K2,,B1M7K2_METRJ,,,,
B1M9H9,,B1M9H9_METRJ,,,,
B1MBS7,,B1MBS7_MYCA9,,,,
B1MDZ6,,B1MDZ6_MYCA9,,,,
B1MJH6,,B1MJH6_MYCA9,,,,
B1NTV9,,,,B1NTV9_HUMAN,,
B1NUB5,,,,B1NUB5_HUMAN,,
B1NUS1,,,,B1NUS1_HUMAN,,
B1NVJ4,,,,B1NVJ4_HUMAN,,
B1NZU1,,,,B1NZU1_BOVIN,,
B1P0Q3,,,,B1P0Q3_BISBI,,
B1PE53,,,,,,B1PE53_CAEBR
B1PI08,,,,B1PI08_HUMAN,,
B1PX55,,,,B1PX55_9TELE,,
B1PX56,,,,B1PX56_9TELE,,
B1PX57,,,,B1PX57_9TELE,,
B1PX58,,,,B1PX58_9TELE,,
B1PX59,,,,B1PX59_9TELE,,
B1PX61,,,,B1PX61_LUTSE,,
B1PX62,,,,B1PX62_LUTSE,,
B1PX63,,,,B1PX63_LUTER,,
B1PX65,,,,B1PX65_LUTMA,,
B1PX66,,,,B1PX66_LUTMA,,
B1PX67,,,,B1PX67_LUTRU,,
B1PX69,,,,B1PX69_9TELE,,
B1PX71,,,,B1PX71_9TELE,,
B1PX73,,,,B1PX73_LUTAR,,
B1PX75,,,,B1PX75_9TELE,,
B1Q2D1,,,,B1Q2D1_SYRSO,,
B1Q2D7,,,,B1Q2D7_SYRRE,,
B1Q2F1,,,,B1Q2F1_SYREL,,
B1Q2G4,,,,B1Q2G4_SYRHU,,
B1Q2H7,,,,B1Q2H7_PHAVE,,
B1Q2J0,,,,B1Q2J0_LOPIG,,
B1VI54,,B1VI54_CORU7,,,,
B1VQ44,,B1VQ44_STRGG,,,,
B1VZQ7,,B1VZQ7_STRGG,,,,
B1W8A6,,,,B1W8A6_HUMAN,,
B1WRL7,,B1WRL7_CYAA5,,,,
B1X201,,B1X201_CYAA5,,,,
B1XFL9,,B1XFL9_ECODH,,,,
B1XS83,,B1XS83_POLNS,,,,
B1Y6P5,,B1Y6P5_LEPCP,,,,
B1Y7T0,,B1Y7T0_LEPCP,,,,
B1YIW3,,B1YIW3_EXIS2,,,,
B1YJP9,,B1YJP9_EXIS2,,,,
B1YN95,,B1YN95_BURA4,,,,
B1YSM1,,B1YSM1_BURA4,,,,
B1Z3R1,,B1Z3R1_BURA4,,,,
B1Z4Q7,,B1Z4Q7_BURA4,,,,
B1ZE60,,B1ZE60_METPB,,,,
B1ZKN9,,B1ZKN9_METPB,,,,
B1ZKV0,,B1ZKV0_METPB,,,,
B1ZMS6,,B1ZMS6_OPITP,,,,
B1ZVF1,,B1ZVF1_OPITP,,,,
B2AGQ9,,B2AGQ9_CUPTR,,,B2AGQ9_CUPTR,
B2BJ94,,,,B2BJ94_ARAGI,,
B2BP72,,,,B2BP72_SORAR,,
B2BP76,,,,B2BP76_SORAR,,
B2BP84,,,,B2BP84_SORGA,,
B2BP85,,,,B2BP85_SORCO,,
B2BP88,,,,B2BP88_SORAN,,
B2BP92,,,,B2BP92_SORSM,,
B2BP94,,,,B2BP94_SORMI,,
B2CB36,,,,B2CB36_HUMAN,,
B2CC36,,,,B2CC36_9TELE,,
B2CC74,,,,B2CC74_9TELE,,
B2CC90,,,,B2CC90_9TELE,,
B2CFL4,,,,B2CFL4_ICTPE,,
B2CFL5,,,,B2CFL5_TYRME,,
B2CFL6,,,,B2CFL6_9PASS,,
B2CFL8,,,,B2CFL8_9TYRA,,
B2CFL9,,,,B2CFL9_BUTVI,,
B2CFM2,,,,B2CFM2_9DEND,,
B2CFM3,,,,B2CFM3_9PICI,,
B2CFM7,,,,B2CFM7_PSIMO,,
B2CFN7,,,,B2CFN7_9PASS,,
B2CFP8,,,,B2CFP8_TROAE,,
B2CGS8,,,,B2CGS8_9TELE,,
B2CKI3,,,,B2CKI3_9PLEU,,
B2CL10,,,,B2CL10_9PASS,,
B2CL11,,,,B2CL11_9PASS,,
B2CL12,,,,B2CL12_9PASS,,
B2CL15,,,,B2CL15_9PASS,,
B2CL19,,,,B2CL19_9PASS,,
B2CL22,,,,B2CL22_9PASS,,
B2CL23,,,,B2CL23_9PASS,,
B2CL25,,,,B2CL25_9PASS,,
B2CL27,,,,B2CL27_9PASS,,
B2CL31,,,,B2CL31_9PASS,,
B2CL35,,,,B2CL35_9PASS,,
B2CL36,,,,B2CL36_9PASS,,
B2CL47,,,,B2CL47_9PASS,,
B2CL52,,,,B2CL52_ACTHY,,
B2CL58,,,,B2CL58_AETCR,,
B2CL62,,,,B2CL62_AETPY,,
B2CL65,,,,B2CL65_APTFO,,
B2CL66,,,,B2CL66_APTFO,,
B2CL67,,,,B2CL67_APTFO,,
B2CL68,,,,B2CL68_APTPA,,
B2CL69,,,,B2CL69_APTPA,,
B2CL70,,,,B2CL70_APTPA,,
B2CL71,,,,B2CL71_APTPA,,
B2CL72,,,,B2CL72_APTPA,,
B2CL76,,,,B2CL76_APTAU,,
B2CL77,,,,B2CL77_APTAU,,
B2CL84,,,,B2CL84_APTAU,,
B2CL90,,,,B2CL90_9AVES,,
B2CL92,,,,B2CL92_9AVES,,
B2CL93,,,,B2CL93_BRABR,,
B2CL96,,,,B2CL96_BRAMA,,
B2CLA2,,,,B2CLA2_BUBVI,,
B2CLA4,,,,B2CLA4_BUCCL,,
B2CLA5,,,,B2CLA5_CERMN,,
B2CLA8,,,,B2CLA8_CHLLE,,
B2CLA9,,,,B2CLA9_CHLNG,,
B2CLB0,,,,B2CLB0_CHLNG,,
B2CLB2,,,,B2CLB2_EUDPA,,
B2CLB4,,,,B2CLB4_9AVES,,
B2CLB7,,,,B2CLB7_9AVES,,
B2CLB8,,,,B2CLB8_EUDMI,,
B2CLB9,,,,B2CLB9_EUDMI,,
B2CLC0,,,,B2CLC0_EUDMI,,
B2CLC1,,,,B2CLC1_EUDMI,,
B2CLC2,,,,B2CLC2_EUDMI,,
B2CLC4,,,,B2CLC4_EUDMI,,
B2CLC6,,,,B2CLC6_EUDMI,,
B2CLC8,,,,B2CLC8_EUDMI,,
B2CLD1,,,,B2CLD1_EUDMI,,
B2CLD2,,,,B2CLD2_EUDMI,,
B2CLD4,,,,B2CLD4_EUDMI,,
B2CLD5,,,,B2CLD5_EUDMI,,
B2CLD6,,,,B2CLD6_EUDMI,,
B2CLE6,,,,B2CLE6_EUDMI,,
B2CLE7,,,,B2CLE7_EUDMI,,
B2CLF2,,,,B2CLF2_EUDMI,,
B2CLF3,,,,B2CLF3_EUDMI,,
B2CLG0,,,,B2CLG0_EUDMI,,
B2CLG1,,,,B2CLG1_EUDMI,,
B2CLG6,,,,B2CLG6_EUDMI,,
B2CLG8,,,,B2CLG8_EUDMI,,
B2CLH4,,,,B2CLH4_FRACI,,
B2CLH5,,,,B2CLH5_FRACR,,
B2CLH8,,,,B2CLH8_GELNI,,
B2CLI2,,,,B2CLI2_GELNI,,
B2CLI3,,,,B2CLI3_GELNI,,
B2CLI4,,,,B2CLI4_HIMHI,,
B2CLI5,,,,B2CLI5_HIMHI,,
B2CLI7,,,,B2CLI7_HIMHI,,
B2CLI8,,,,B2CLI8_HIMHI,,
B2CLI9,,,,B2CLI9_HIMHI,,
B2CLJ1,,,,B2CLJ1_HIMHI,,
B2CLJ2,,,,B2CLJ2_HIMHI,,
B2CLJ5,,,,B2CLJ5_HYDCS,,
B2CLJ6,,,,B2CLJ6_HYDCS,,
B2CLJ7,,,,B2CLJ7_HYDCS,,
B2CLK0,,,,B2CLK0_JACJC,,
B2CLK2,,,,B2CLK2_JACJC,,
B2CLK4,,,,B2CLK4_LIMSC,,
B2CLK5,,,,B2CLK5_9GALL,,
B2CLK7,,,,B2CLK7_9GALL,,
B2CLL0,,,,B2CLL0_MORBA,,
B2CLL2,,,,B2CLL2_MORBA,,
B2CLL6,,,,B2CLL6_9AVES,,
B2CLM5,,,,B2CLM5_NUMTA,,
B2CLM8,,,,B2CLM8_PHAFL,,
B2CLN1,,,,B2CLN1_PHALO,,
B2CLN2,,,,B2CLN2_PHALO,,
B2CLN6,,,,B2CLN6_PHELU,,
B2CLN9,,,,B2CLN9_PYGAN,,
B2CLP0,,,,B2CLP0_PYGAN,,
B2CLP1,,,,B2CLP1_PYGAN,,
B2CLP2,,,,B2CLP2_PYGAN,,
B2CLP4,,,,B2CLP4_PYGPA,,
B2CLP6,,,,B2CLP6_PYGPA,,
B2CLP7,,,,B2CLP7_PYGPA,,
B2CLQ0,,,,B2CLQ0_PYGPA,,
B2CLQ1,,,,B2CLQ1_PYGPA,,
B2CLQ2,,,,B2CLQ2_PYGPA,,
B2CLQ4,,,,B2CLQ4_PYGPA,,
B2CLR1,,,,B2CLR1_RECAE,,
B2CLR2,,,,B2CLR2_9CHAR,,
B2CLR3,,,,B2CLR3_9CHAR,,
B2CLR5,,,,B2CLR5_RISTR,,
B2CLR7,,,,B2CLR7_SPHDE,,
B2CLR8,,,,B2CLR8_SPHDE,,
B2CLR9,,,,B2CLR9_SPHDE,,
B2CLS2,,,,B2CLS2_SPHDE,,
B2CLS3,,,,B2CLS3_SPHMA,,
B2CLS5,,,,B2CLS5_SPHMA,,
B2CLS6,,,,B2CLS6_SPIPA,,
B2CLS7,,,,B2CLS7_SPIPA,,
B2CLS9,,,,B2CLS9_STELN,,
B2CLT5,,,,B2CLT5_9CHAR,,
B2CLT6,,,,B2CLT6_9CHAR,,
B2CLT7,,,,B2CLT7_9CHAR,,
B2CLT9,,,,B2CLT9_9CHAR,,
B2CLU0,,,,B2CLU0_9CHAR,,
B2CLU1,,,,B2CLU1_STEAI,,
B2CLU2,,,,B2CLU2_STEAI,,
B2CLU3,,,,B2CLU3_9CHAR,,
B2CLU4,,,,B2CLU4_9CHAR,,
B2CLU7,,,,B2CLU7_STUNE,,
B2CLU9,,,,B2CLU9_9PASS,,
B2CLV0,,,,B2CLV0_9PASS,,
B2CLV4,,,,B2CLV4_SYNWU,,
B2CLV5,,,,B2CLV5_9PASS,,
B2CLV7,,,,B2CLV7_9PASS,,
B2CLV8,,,,B2CLV8_9PASS,,
B2CLW3,,,,B2CLW3_STESA,,
B2CLW4,,,,B2CLW4_STESA,,
B2CLW5,,,,B2CLW5_STESA,,
B2CLW9,,,,B2CLW9_TRIFA,,
B2CLX0,,,,B2CLX0_TRIFA,,
B2CLX1,,,,B2CLX1_TRIFA,,
B2CLX2,,,,B2CLX2_TRIFA,,
B2CLX3,,,,B2CLX3_TRIFA,,
B2CLX6,,,,B2CLX6_TRIGL,,
B2CLX7,,,,B2CLX7_TRIGL,,
B2CLX9,,,,B2CLX9_TRIGL,,
B2CLY1,,,,B2CLY1_TRIIA,,
B2CLY4,,,,B2CLY4_TRIML,,
B2CLY7,,,,B2CLY7_TRINE,,
B2CLZ1,,,,B2CLZ1_TRINE,,
B2CLZ2,,,,B2CLZ2_TRISG,,
B2CLZ3,,,,B2CLZ3_TRISG,,
B2CLZ9,,,,B2CLZ9_9CHAR,,
B2CM00,,,,B2CM00_9CHAR,,
B2CM02,,,,B2CM02_9CHAR,,
B2CM05,,,,B2CM05_9CHAR,,
B2CM06,,,,B2CM06_URIAL,,
B2CM09,,,,B2CM09_URILO,,
B2FJZ0,,B2FJZ0_STRMK,,,,
B2FLI0,,B2FLI0_STRMK,,,,
B2FUA1,,B2FUA1_STRMK,,,,
B2GHS9,,B2GHS9_KOCRD,,,,
B2HHG9,,B2HHG9_MYCMM,,,,
B2HHM4,,B2HHM4_MYCMM,,,,
B2HU98,,B2HU98_ACIBC,,,,
B2I9K3,,B2I9K3_XYLF2,,,,
B2IGJ7,,B2IGJ7_BEII9,,,,
B2J1T8,,B2J1T8_NOSP7,,,,
B2J2L9,,B2J2L9_NOSP7,,,,
B2J5V4,,B2J5V4_NOSP7,,,,
B2J6R3,,B2J6R3_NOSP7,,,,
B2JCA6,,B2JCA6_BURP8,,,B2JCA6_BURP8,
B2JCS1,,B2JCS1_BURP8,,,,
B2JMI9,,B2JMI9_BURP8,,,,
B2JP14,,B2JP14_BURP8,,,,
B2JP89,,B2JP89_BURP8,,,,
B2JRY2,,B2JRY2_BURP8,,,,
B2JVB4,,B2JVB4_BURP8,,,,
B2K6U9,,B2K6U9_YERPB,,,,
B2KM44,,,,B2KM44_HUMAN,,
B2KQF8,,,,B2KQF8_MARMX,,
B2KR25,,,,B2KR25_9CHIR,,
B2KR40,,,,B2KR40_9CHIR,,
B2KR41,,,,B2KR41_9CHIR,,
B2KRI6,,,,B2KRI6_PLAHE,,
B2KRK7,,,,B2KRK7_PROCU,,
B2KRU0,,,,B2KRU0_RHYNA,,
B2KRW8,,,,B2KRW8_SACBI,,
B2KRY2,,,,B2KRY2_9CHIR,,
B2KRY3,,,,B2KRY3_SACLE,,
B2KRY8,,,,B2KRY8_SACLE,,
B2L0N9,,,,B2L0N9_MUSTR,,
B2LIE7,,B2LIE7_GASAC,,,,
B2MWY7,,,,B2MWY7_9TELE,,
B2MZH5,,,,B2MZH5_9TELE,,
B2MZH8,,,,B2MZH8_9TELE,,
B2MZH9,,,,B2MZH9_9TELE,,
B2MZI0,,,,B2MZI0_9TELE,,
B2MZI3,,,,B2MZI3_9TELE,,
B2MZI4,,,,B2MZI4_9TELE,,
B2MZI5,,,,B2MZI5_9TELE,,
B2MZI8,,,,B2MZI8_9TELE,,
B2MZJ0,,,,B2MZJ0_9TELE,,
B2S9W5,,B2S9W5_BRUA1,,,,
B2SE25,,B2SE25_FRATM,,,,
B2SL18,,B2SL18_XANOP,,,,
B2STC9,,B2STC9_XANOP,,,,
B2SX27,,B2SX27_BURPP,,,B2SX27_BURPP,
B2SXK2,,B2SXK2_BURPP,,,,
B2T4C3,,B2T4C3_BURPP,,,,
B2TCF0,,B2TCF0_BURPP,,,,
B2U4N5,,B2U4N5_SHIB3,,,,
B2UDP3,,B2UDP3_RALPJ,,,,
B2UE41,,B2UE41_RALPJ,,,,
B2UFR1,,B2UFR1_RALPJ,,,,
B2UK56,,B2UK56_RALPJ,,,,
B2WVJ9,,,,B2WVJ9_9SAUR,,
B2WVL2,,,,B2WVL2_OSTTE,,
B2WVM5,,,,B2WVM5_PANPR,,
B2WVN8,,,,B2WVN8_PANTI,,
B2WVQ2,,,,B2WVQ2_UNCUN,,
B2XEY0,,,,B2XEY0_HUMAN,,
B2XGN6,,,,B2XGN6_HUMAN,,
B2XH81,,,,B2XH81_HUMAN,,
B2XHY2,,,,B2XHY2_HUMAN,,
B2XI93,,,,B2XI93_HUMAN,,
B2XJ80,,,,B2XJ80_HUMAN,,
B2XLA7,,,,B2XLA7_HUMAN,,
B2XLI5,,,,B2XLI5_HUMAN,,
B2XLJ8,,,,B2XLJ8_HUMAN,,
B2XM03,,,,B2XM03_HUMAN,,
B2XNF6,,,,B2XNF6_HUMAN,,
B2XPY6,,,,B2XPY6_HUMAN,,
B2XRS6,,B2XRS6_APIME,,,,
B2XX69,,,,,,B2XX69_9MYCE
B2XY88,,,,,,B2XY88_CHLRE
B2Y9D8,,,,B2Y9D8_HUMAN,,
B2YFX0,,,,B2YFX0_9TELE,,
B2ZA96,,,,B2ZA96_OVIMU,,
B2ZAI5,,,,B2ZAI5_CHICK,,
B2ZAJ3,,,,B2ZAJ3_CHICK,,
B2ZAJ4,,,,B2ZAJ4_CHICK,,
B2ZAJ6,,,,B2ZAJ6_CHICK,,
B2ZAJ9,,,,B2ZAJ9_CHICK,,
B2ZAK2,,,,B2ZAK2_CHICK,,
B2ZAK4,,,,B2ZAK4_CHICK,,
B2ZAK5,,,,B2ZAK5_CHICK,,
B2ZAL8,,,,B2ZAL8_CHICK,,
B2ZAM0,,,,B2ZAM0_CHICK,,
B3CN59,,B3CN59_WOLPP,,,,
B3CTF7,,B3CTF7_ORITI,,,,
B3DB50,,B3DB50_BURM1,,,,
B3DD95,,,,B3DD95_HUMAN,,
B3DEC2,,,,B3DEC2_HUMAN,,
B3DUV8,,B3DUV8_METI4,,,,
B3DY48,,B3DY48_METI4,,,,
B3DYF7,,B3DYF7_METI4,,,,
B3EYC2,,,,B3EYC2_9SAUR,,
B3EZ34,,,,B3EZ34_9SAUR,,
B3F0J3,,,,B3F0J3_PLASA,,
B3F2Y9,,,,B3F2Y9_URSTH,,
B3FRZ1,,,,B3FRZ1_9CHON,,
B3FWR1,,,,B3FWR1_9TELE,,
B3GSQ2,,,,B3GSQ2_HUMAN,,
B3GSZ2,,,,B3GSZ2_ANOCA,,B3GSZ2_ANOCA
B3GT05,,,,B3GT05_OPHAT,,
B3GT18,,,,B3GT18_9SAUR,,
B3GT31,,,,B3GT31_VARSL,,
B3GT94,,,,B3GT94_CAIMO,,
B3LEA8,,,,B3LEA8_9TELE,,
B3LEC1,,,,B3LEC1_9TELE,,
B3LED4,,,,B3LED4_9TELE,,
B3LEE7,,,,B3LEE7_9TELE,,
B3LEG0,,,,B3LEG0_9TELE,,
B3LEH3,,,,B3LEH3_9TELE,,
B3LEI6,,,,B3LEI6_9TELE,,
B3LEJ9,,,,B3LEJ9_9TELE,,
B3LEL2,,,,B3LEL2_9TELE,,
B3LEM5,,,,B3LEM5_9TELE,,
B3PKV9,,B3PKV9_CELJU,,,B3PKV9_CELJU,
B3PSB1,,B3PSB1_RHIE6,,,B3PSB1_RHIE6,
B3PSJ9,,B3PSJ9_RHIE6,,,,
B3Q119,,B3Q119_RHIE6,,,,
B3Q583,,B3Q583_RHIE6,,,,
B3QF23,,B3QF23_RHOPT,,,,
B3QMY8,,B3QMY8_CHLP8,,,,
